Steam ID,Avg Assists,Avg Kills,Avg Deaths,Last Hits,Denies,Games Dire,Games Radiant,Total Games,GPM,XPM,Hero Damage,Hero Healing,Level,Wins,Losses,Gold Spent,Tower Damage,KAL,KDA,Winrate
50828662,10.79228487,3.426310584,5.161226508,79.64589515,2.825914936,461,550,1011,312.3818002,343.305638,8150.729899,1377.329146,15.52917903,539,472,9703.26005,628.3731156,3.246766425,2.75488693,0.533135509
88553213,10.3640873,3.08234127,3.908730159,65.42559524,2.471230159,521,487,1008,278.2490079,302.1488095,5800.321199,986.5995717,13.9593254,611,397,9466.788009,314.6959315,4.179549171,3.440101523,0.606150794
88271237,10.07192807,3.742257742,5.210789211,110.1228771,4.68031968,543,458,1001,335.4755245,369.7492507,11099.77577,582.0953608,15.39460539,521,480,12394.65206,1294.412371,3.282164116,2.65107362,0.520479521
117421467,11.96777442,3.336354481,5.791540785,63.75427996,3.349446123,548,445,993,289.8298087,335.8721047,8445.639485,1684.206009,15.56696878,502,491,10156.84549,415.7854077,3.01262194,2.642496957,0.505538771
89157606,9.049395161,6.267137097,3.696572581,192.0866935,13.38810484,499,493,992,471.0514113,487.1854839,11880.02174,208.8559783,17.71370968,600,392,17270.16304,1948.883152,4.946679191,4.143441505,0.60483871
139937922,11.76643074,4.023255814,4.749241658,150.0475228,3.974721941,418,571,989,409.0020222,450.2649141,10697.80649,793.6897297,17.61274014,562,427,12675.4973,773.4021622,4.078018206,3.324675325,0.568250758
93119769,9.366598778,7.99796334,5.430753564,218.1211813,9.860488798,457,525,982,541.1160896,542.9164969,16897.36153,278.8789386,18.76578411,527,455,16972.1393,2565.66335,4.07061107,3.197449841,0.536659878
139280377,8.735112936,7.204312115,3.255646817,243.5359343,11.27104723,446,528,974,543.2279261,532.6047228,14044.45013,235.06469,18.85420945,544,430,17943.29515,3403.024259,5.628647357,4.895931883,0.558521561
21265941,9.184994861,5.452209661,3.452209661,142.7872559,9.61356629,486,487,973,402.0524152,452.012333,12595.62353,397.2352941,17.04419322,515,458,12870.88235,636.6,4.739888763,4.239952367,0.529290853
315657960,8.053497942,6.1718107,3.904320988,220.4773663,9.54526749,473,499,972,508.8559671,533.4927984,14181.07558,582.8604651,18.35699588,541,431,16973.54651,2613.707364,4.24261901,3.643478261,0.556584362
18180970,11.6552795,3.16252588,5.642857143,56.56728778,3.223602484,380,586,966,279.1407867,321.6469979,6941.318725,2031.926959,15.1884058,508,458,9340.318725,476.7211155,2.983032319,2.625940194,0.525879917
49317728,10.49378882,4.281573499,5.281573499,170.6501035,7.640786749,445,521,966,416.1987578,453.3478261,9602.111702,1020.037234,17.75672878,519,447,12614.00931,1042.974734,3.578477739,2.79753038,0.537267081
131043881,11.34679089,3.457556936,5.290890269,57.33126294,2.301242236,525,441,966,282.1635611,306.5610766,8496.552189,1002.648148,14.2826087,496,470,9080.252525,393.2996633,3.045046466,2.798082567,0.513457557
5448108,10.23277662,3.831941545,5.10125261,67.88204593,2.689979123,517,441,958,294.7390397,335.0532359,6714.854545,815.6242424,14.14822547,525,433,9295.575758,273.9151515,3.201328691,2.757110702,0.548016702
91369376,8.169831224,7.405063291,4.417721519,248,9.45464135,519,429,948,532.4767932,537.6424051,15966.00228,331.2305936,19.26793249,482,466,17797.47717,3096.705479,4.184306686,3.525549188,0.508438819
101450083,9.743589744,7.351495726,4.126068376,208.6976496,12.09615385,478,458,936,497.1858974,508.6773504,16332.28552,484.0181058,18.70192308,515,421,16395.10446,2955.157382,4.865848284,4.143190057,0.550213675
86700461,8.943133047,7.416309013,4.983905579,210.8186695,10.00858369,481,451,932,503.4667382,535.9109442,16449.49452,164.4972603,19.42274678,511,421,16526.53425,2089.19589,4.118023354,3.282454252,0.548283262
111291593,12.07427341,3.46393972,4.474703983,145.0764263,3.139935414,472,457,929,385.0247578,408.3702906,9954.808013,808.2337229,16.74488698,500,429,12328.24708,797.7145242,4.113575191,3.472456098,0.538213132
26682464,10.18574514,2.963282937,4.718142549,63.87580994,2.363930886,530,396,926,285.3477322,307.4956803,6152.219713,1795.472279,13.88660907,478,448,7837.648871,442.5667351,3.365554106,2.786907759,0.516198704
